"sujet";"coq";"gram";"lex";"nt";"ref";"erreurs";"pre_test";"post_test";"comprehension";"fatigue";"transc_difficulte";"motivation";"recommencer";"mem_difficulte";"questions_difficulte";"frappe";"groupe"
"1";"36";"44";"27";"495";"142";"107";"0.8";"0.9";"0.75";"82";"66";"100";"23";"29";"65";"55";"nback"
"3";"7";"18";"12";"278";"21";"37";"0.7";"0.75";"0.75";"67";"68";"100";"33";"53";"57";"55";"nback"
"5";"3";"36";"14";"1113";"216";"53";"0.1";"-0.25";"0.4375";"81";"74";"92";"1";"27";"73";"44";"nback"
"7";"30";"79";"8";"385";"170";"117";"0.25";"0.65";"0.375";"61";"91";"100";"80";"65";"58";"53";"nback"
"9";"26";"45";"20";"896";"192";"91";"0.7";"0.5";"0.5625";"97";"93";"69";"0";"19";"68";"61";"nback"
"11";"16";"37";"12";"420";"112";"65";"0.9";"1";"0.6875";"75";"74";"94";"27";"22";"65";"71";"nback"
"19";"17";"38";"14";"261";"106";"69";"0.7";"0.55";"0.6875";"27";"84";"36";"51";"38";"71";"51";"nback"
"21";"14";"40";"21";"465";"79";"75";"0.95";"0.7";"0.625";"50";"100";"72";"29";"26";"17";"63";"nback"
"23";"6";"30";"30";"1121";"122";"66";"0.5";"0.5";"0.5625";"86";"89";"100";"0";"11";"78";"36";"nback"
"25";"89";"48";"26";"198";"96";"163";"0.75";"0.7";"0.625";"61";"12";"98";"55";"34";"38";"49";"nback"
"2";"12";"51";"18";"256";"56";"81";"0.333333333333333";"0.333333333333333";"0.625";"58";"25";"100";"84";"55";"0";"50";"rspan"
"8";"15";"9";"7";"572";"47";"31";"0.5";"0.5";"0.625";"64";"87";"100";"50";"73";"100";"44";"rspan"
"10";"49";"7";"9";"454";"40";"65";"0.5";"0.333333333333333";"0.9375";"82";"54";"91";"40";"65";"19";"44";"rspan"
"18";"17";"26";"39";"764";"82";"82";"0";"0";"0.625";"98";"93";"100";"1";"97";"85";"38";"rspan"
"20";"19";"5";"18";"298";"58";"42";"1";"0.833333333333333";"0.625";"71";"58";"100";"50";"30";"52";"51";"rspan"
"12";"12";"25";"10";"475";"36";"47";"0.16666667";"0.33333333";"0.75";"67";"56";"91";"52";"74";"56";"55";"rspan"
"22";"36";"24";"34";"239";"90";"94";"0.666666667";"0.83333333";"0.75";"100";"21";"0";"100";"69";"83";"63";"rspan"
"24";"30";"44";"27";"486";"139";"101";"0.666666667";"0.33333333";"0.6875";"100";"90";"100";"0";"50";"50";"44";"rspan"
"26";"21";"29";"21";"458";"112";"71";"0.833333333333333";"1";"0.6875";"4";"62";"99";"23";"65";"24";"47";"rspan"
"28";"16";"19";"21";"240";"104";"56";"0.33333333";"0.33333333";"0.625";"100";"84";"36";"30";"38";"38";"52";"rspan"
