id_sujet	id_subject	back_1_level	back_2_level	oxford	typing_speed	age	sexe	test	Pre_motiv	Mem_diffic	Transc_diffic	Quest_diffic	Fatigue	Recommencer	Comprehension	groupe	wm_pre	wm_post
1	1	1	6	0	55	43	F	nback	100	29	66	65	82	23	0,75	epuisement	0,952380952	0,904761905
3	3	2	4	0	55	31	F	nback	100	53	68	57	67	33	0,75	epuisement	0,857142857	0,738095238
5	5	4	4	0	44	45	F	nback	92	27	74	73	81	1	0,4375	epuisement	0,380952381	0,5
7	7	2	4	21	53	20	F	nback	100	65	91	58	61	80	0,375	epuisement	0,833333333	0,642857143
9	9	1	4	19	61	22	F	nback	69	19	93	68	97	0	0,5625	epuisement	0,761904762	0,857142857
11	11	2	2	23	71	22	F	nback	94	22	74	65	75	27	0,6875	epuisement	0,976190476	0,904761905
17	17	2	20	23	28	29	F	nback	67	50	50	78	50	20	0,75	contrôle	0,80952381	0,833333333
19	19	1	10	23	51	23	F	nback	36	38	84	71	27	51	0,6875	epuisement	0,642857143	0,761904762
21	21	1	4	23	63	22	F	nback	72	26	100	17	50	29	0,625	epuisement	0,642857143	0,952380952
23	23	1	2	18	36	24	F	nback	100	11	89	78	86	0	0,5625	epuisement	0,761904762	0,761904762
25	25	1	2	24	49	21	F	nback	98	34	12	38	61	55	0,625	epuisement	0,833333333	0,785714286
31	31	4	6	0	23	21	F	nback	39	70	64	78	15	16	0,5	contrôle	0,833333333	0,714285714
35	35	2	6	0	0	52	F	nback	100	89	50	15	19	50	0,875	contrôle	0,80952381	0,666666667
37	37	4	6	23	0	23	F	nback	77	100	0	16	76	0	0,8125	contrôle	0,785714286	0,833333333
39	39	6	2	22	0	38	H	nback	93	18	34	26	7	50	0,75	contrôle	0,976190476	0,880952381
41	41	1	2	0	0	22	F	nback	100	76	24	67	74	93	0,6875	contrôle	0,547619048	0,547619048
45	45	1	4	23	0	24	F	nback	81	65	15	0	14	50	0,875	contrôle	0,785714286	0,761904762
47	47	2	4	24	0	0	F	nback	100	18	0	12	28	78	0,875	contrôle	0,785714286	0,761904762
49	49	1	2	0	0	23	F	nback	100	63	52	8	67	98	0,875	contrôle	0,952380952	0,857142857
51	51	2	4	0	0	21	F	nback	90	31	78	60	60	85	0,875	contrôle	0,785714286	0,976190476
2	2	2	2	0	50	27	F	rspan	100	55	25	0	58	84	0,625	epuisement		
4	4	0	0	0	41	30	F	rspan	100	49	100	50	79	17	0,5	epuisement		
6	6	0	0	0	35	45	H	rspan	0	50	100	15	88	0	0,75	epuisement		
8	8	0	0	0	44	21	F	rspan	100	73	87	100	64	50	0,625	epuisement		
10	10	0	0	23	44	21	F	rspan	91	65	54	19	82	40	0,9375	epuisement		
12	12	0	0	22	55	20	F	rspan	91	74	56	56	67	52	0,75	epuisement		
18	18	0	0	21	38	21	F	rspan	100	97	93	85	98	1	0,625	epuisement		
20	20	0	0	23	49	42	F	rspan	100	30	58	52	71	50	0,625	epuisement		
22	22	0	0	23	63	21	F	rspan	0	69	21	83	100	100	0,75	epuisement		
24	24	0	0	22	44	21	F	rspan	100	50	90	50	100	0	0,6875	epuisement		
26	26	0	0	21	47	19	F	rspan	99	65	62	24	4	23	0,6875	epuisement		
28	28	0	0	24	52	23	F	rspan	59	52	90	54	63	40	0,625	epuisement		
29	29	0	0	23	61	20	F	rspan	100	31	51	4	70	0	0,75	contrôle		
32	32	0	0	21	48	39	F	rspan	100	80	65	35	80	37	0,5625	contrôle		
34	34	0	0	0	27	21	F	rspan	100	82	0	80	0	68	0,5625	contrôle		
36	36	0	0	0	0	24	H	rspan	71	25	50	4	90	49	0,9375	contrôle		
38	38	0	0	23	0	23	F	rspan	50	73	50	19	100	0	0,75	contrôle		
40	40	0	0	22	0	28	F	rspan	39	81	50	26	59	42	0,8125	contrôle		
42	42	0	0	22	0	21	F	rspan	100	34	10	57	64	69	0,875	contrôle		
46	46	0	0	0	0	0	H	rspan	95	93	6	10	9	90	0,5	contrôle		
50	50	0	0	0	0	21	F	rspan	100	92	50	17	65	92	0,8125	contrôle		
