"subject_id","part","time_elapsed","rt","set_number","size","correct","letters_recalled","correct_letters","ANL","PCU","PCL"
"29","recall-pre","158879","7290.4349999953","1","4","1","KJRT","KJRT","1","1","4"
"29","recall-pre","205920","10386.420000003","2","6","1","FLJPTQ","FLJPTQ","1","1","6"
"29","recall-pre","243592","8235.8600000007","3","5","1","PSRJF","PSRJF","1","1","5"
"29","recall-pre","281433","8288.5100000058","4","5","1","NSTKJ","NSTKJ","1","1","5"
"29","recall-pre","383507","58226.085000002","5","6","0","HJPRY","HYSTJR","0","0.666666666666667","4"
"29","recall-pre","420029","8926.9599999971","6","4","1","HLKN","HLKN","1","1","4"
"29","recall-post","3110677","9267.6999999969","1","4","1","JNSL","JNSL","1","1","4"
"29","recall-post","3142236","8087.339999998","2","4","0","YRYNT","RYNT","0","1","4"
"29","recall-post","3190903","15662.329999999","3","6","0","PKQNR","PKQNJR","0","0.666666666666667","5"
"29","recall-post","3234494","8697.0900000017","4","6","0","QHFLPY","QHLPFY","0","0.5","6"
"29","recall-post","3272061","9020.6249999977","5","5","1","YRQFS","YRQFS","1","1","5"
"29","recall-post","3306166","7332.1399999987","6","5","1","RHQSP","RHQSP","1","1","5"
"32","recall-pre","136866","6005","1","5","1","FLRTP","FLRTP","1","1","5"
"32","recall-pre","170130","6531","2","4","1","RNSF","RNSF","1","1","4"
"32","recall-pre","201992","5228","3","4","1","KHRF","KHRF","1","1","4"
"32","recall-pre","245178","6203","4","6","1","HYLNJK","HYLNJK","1","1","6"
"32","recall-pre","293115","8643","5","6","1","SPLNKF","SPLNKF","1","1","6"
"32","recall-pre","328158","6677","6","5","1","HKYPF","HKYPF","1","1","5"
"32","recall-post","3018052","6541.9999999995","1","6","1","HNYKJF","HNYKJF","1","1","6"
"32","recall-post","3056291","4639","2","5","1","LKHPQ","LKHPQ","1","1","5"
"32","recall-post","3086227","6078","3","5","1","HTYLR","HTYLR","1","1","5"
"32","recall-post","3109191","4102.0000000005","4","4","1","SNQJ","SNQJ","1","1","4"
"32","recall-post","3132577","5716","5","4","1","FQRH","FQRH","1","1","4"
"32","recall-post","3171244","9668","6","6","1","NJPRKF","NJPRKF","1","1","6"
"30","recall-pre","79142","9525","1","4","1","LNHY","LNHY","1","1","4"
"30","recall-pre","138045","17501","2","5","0","TLJQN","TLJKN","0","0.8","4"
"30","recall-pre","207617","17023","3","6","0","YRFQSL","YRFQSN","0","0.833333333333333","5"
"30","recall-pre","263413","20814","4","5","0","YSTJN","HSTJN","0","0.8","4"
"30","recall-pre","351588","38462","5","6","0","RYHFP","RYHFPT","0","0.833333333333333","5"
"30","recall-pre","392586","6499","6","4","1","THQL","THQL","1","1","4"
"30","recall-post","3088674","14076","1","4","1","PSYK","PSYK","1","1","4"
"30","recall-post","3127504","8484","2","4","1","QSPH","QSPH","1","1","4"
"30","recall-post","3186173","13424","3","6","1","RKTPSL","RKTPSL","1","1","6"
"30","recall-post","3223380","11221","4","6","1","LNFJPS","LNFJPS","1","1","6"
"30","recall-post","3266486","8791","5","5","0","SQFRT","SQFKT","0","0.8","4"
"30","recall-post","3310762","8165","6","5","1","HQRTL","HQRTL","1","1","5"
"34","recall-pre","135099","20950.805","1","5","1","PLNJQ","PLNJQ","1","1","5"
"34","recall-pre","232648","37798.045000003","2","6","0","RLJY","RJLSKY","0","0.166666666666667","4"
"34","recall-pre","288298","11110.370000002","3","4","0","RLJK","LFYK","0","0","2"
"34","recall-pre","364715","22333.455","4","6","0","SPJKQT","SKPRTQ","0","0.166666666666667","5"
"34","recall-pre","445912","25206.724999996","5","4","1","LKQT","LKQT","1","1","4"
"34","recall-pre","513352","24028.985000004","6","5","0","HFLST","HLFST","0","0.6","5"
"34","recall-post","2501316","18957.580000002","1","5","0","NLRSK","NLRFK","0","0.8","4"
"34","recall-post","2568295","13133.925000002","2","5","0","TQFR","TQFRH","0","0.8","4"
"34","recall-post","2644416","15678.354999997","3","6","0","NQKLP","QTPNRF","0","0","3"
"34","recall-post","2711235","21310.680000002","4","4","0","QLNS","HRFS","0","0.25","1"
"34","recall-post","2785933","25642.095000003","5","6","0","HNFYLJ","HYKTRJ","0","0.333333333333333","3"
"34","recall-post","2840559","10573.539999998","6","4","0","LPN","LJTN","0","0","2"
