groupe,subject_id,part,id_2_back,trial_id,False-alarm,Mismatch,No-input,Non-target,Target,Score,rt
transc,1,2_back_pre,1,0,0,0,0,1,0,1,1415
transc,1,2_back_pre,1,1,0,0,0,1,0,1,539
transc,1,2_back_pre,1,2,0,0,0,1,0,1,476
transc,1,2_back_pre,1,3,0,0,0,1,0,1,617
transc,1,2_back_pre,1,4,0,0,0,0,1,1,441
transc,1,2_back_pre,1,5,0,0,0,1,0,1,748
transc,1,2_back_pre,1,6,0,0,0,1,0,1,557
transc,1,2_back_pre,1,7,0,0,0,0,1,1,534
transc,1,2_back_pre,1,8,0,0,0,0,1,1,819
transc,1,2_back_pre,1,9,0,0,0,1,0,1,447
transc,1,2_back_pre,1,10,0,0,0,1,0,1,363
transc,1,2_back_pre,1,11,0,0,0,1,0,1,603
transc,1,2_back_pre,1,12,0,0,0,1,0,1,491
transc,1,2_back_pre,1,13,0,0,0,1,0,1,624
transc,1,2_back_pre,1,14,0,0,0,1,0,1,558
transc,1,2_back_pre,1,15,0,0,0,0,1,1,461
transc,1,2_back_pre,1,16,0,0,0,0,1,1,436
transc,1,2_back_pre,1,17,0,0,0,1,0,1,468
transc,1,2_back_pre,1,18,0,0,0,1,0,1,500
transc,1,2_back_pre,1,19,0,0,0,1,0,1,571
transc,1,2_back_pre,1,20,0,0,0,1,0,1,569
transc,1,2_back_pre,1,21,0,0,0,0,1,1,625
transc,1,2_back_pre,1,22,0,0,0,1,0,1,439
transc,1,2_back_pre,1,23,1,0,0,0,0,-1,559
transc,1,2_back_pre,1,24,0,1,0,0,0,-1,557
transc,1,2_back_pre,1,25,0,0,0,1,0,1,565
transc,1,2_back_pre,1,26,0,0,0,1,0,1,578
transc,1,2_back_pre,1,27,0,0,0,1,0,1,482
transc,1,2_back_pre,1,28,0,0,0,1,0,1,902
transc,1,2_back_pre,1,29,0,0,0,1,0,1,595
transc,1,2_back_pre,1,30,0,0,0,1,0,1,460
transc,1,2_back_pre,1,31,0,0,0,0,1,1,391
transc,1,2_back_pre,1,32,0,0,0,1,0,1,449
transc,1,2_back_pre,1,33,0,0,0,1,0,1,595
transc,1,2_back_pre,1,34,0,0,0,0,1,1,491
transc,1,2_back_pre,1,35,0,0,0,1,0,1,755
transc,1,2_back_pre,1,36,0,0,0,1,0,1,756
transc,1,2_back_pre,1,37,0,0,0,1,0,1,508
transc,1,2_back_pre,1,38,0,0,0,1,0,1,551
transc,1,2_back_pre,1,39,0,0,0,0,1,1,661
transc,1,2_back_pre,1,40,0,0,0,1,0,1,494
transc,1,2_back_pre,1,41,0,0,0,1,0,1,500
transc,1,2_back_pre,2,0,0,0,0,1,0,1,452
transc,1,2_back_pre,2,1,0,0,0,1,0,1,341
transc,1,2_back_pre,2,2,0,0,0,1,0,1,554
transc,1,2_back_pre,2,3,0,0,0,1,0,1,507
transc,1,2_back_pre,2,4,0,0,0,0,1,1,657
transc,1,2_back_pre,2,5,0,0,0,1,0,1,611
transc,1,2_back_pre,2,6,0,0,0,1,0,1,628
transc,1,2_back_pre,2,7,0,0,0,1,0,1,597
transc,1,2_back_pre,2,8,0,0,0,1,0,1,423
transc,1,2_back_pre,2,9,0,0,0,0,1,1,477
transc,1,2_back_pre,2,10,0,0,0,1,0,1,513
transc,1,2_back_pre,2,11,0,0,0,1,0,1,526
transc,1,2_back_pre,2,12,0,0,0,0,1,1,527
transc,1,2_back_pre,2,13,0,0,0,1,0,1,517
transc,1,2_back_pre,2,14,0,0,0,1,0,1,475
transc,1,2_back_pre,2,15,0,0,0,1,0,1,496
transc,1,2_back_pre,2,16,0,0,0,1,0,1,711
transc,1,2_back_pre,2,17,0,0,0,1,0,1,690
transc,1,2_back_pre,2,18,0,0,0,1,0,1,612
transc,1,2_back_pre,2,19,0,0,0,0,1,1,550
transc,1,2_back_pre,2,20,0,0,0,1,0,1,424
transc,1,2_back_pre,2,21,0,0,0,1,0,1,502
transc,1,2_back_pre,2,22,0,1,0,0,0,-1,410
transc,1,2_back_pre,2,23,0,0,0,1,0,1,623
transc,1,2_back_pre,2,24,0,0,0,1,0,1,1174
transc,1,2_back_pre,2,25,0,0,0,1,0,1,677
transc,1,2_back_pre,2,26,0,0,0,1,0,1,593
transc,1,2_back_pre,2,27,0,0,0,0,1,1,426
transc,1,2_back_pre,2,28,0,0,0,1,0,1,496
transc,1,2_back_pre,2,29,0,0,0,1,0,1,554
transc,1,2_back_pre,2,30,0,0,0,0,1,1,728
transc,1,2_back_pre,2,31,0,0,0,1,0,1,478
transc,1,2_back_pre,2,32,1,0,0,0,0,-1,962
transc,1,2_back_pre,2,33,0,0,0,0,1,1,1028
transc,1,2_back_pre,2,34,0,0,0,1,0,1,423
transc,1,2_back_pre,2,35,0,0,0,1,0,1,377
transc,1,2_back_pre,2,36,0,0,0,0,1,1,512
transc,1,2_back_pre,2,37,0,0,0,0,1,1,527
transc,1,2_back_pre,2,38,0,0,0,1,0,1,411
transc,1,2_back_pre,2,39,0,0,0,1,0,1,406
transc,1,2_back_pre,2,40,0,0,0,1,0,1,674
transc,1,2_back_pre,2,41,0,0,0,1,0,1,600
