"","groupe","part","subject_id","False.alarm","Mismatch","No.input","Non.target","Target","Score","rt"
"1","control","2_back_pre","17",0.0119047619047619,0.0714285714285714,0,0.75,0.166666666666667,0.833333333333333,612.821428571429
"2","control","2_back_pre","31",0.0595238095238095,0.0714285714285714,0.0119047619047619,0.702380952380952,0.154761904761905,0.714285714285714,676.506607144672
"3","control","2_back_pre","35",0.0833333333333333,0.0595238095238095,0.0238095238095238,0.654761904761905,0.178571428571429,0.666666666666667,879.11720238092
"4","control","2_back_pre","37",0.0476190476190476,0,0.0357142857142857,0.678571428571429,0.238095238095238,0.833333333333333,538.442261910643
"5","control","2_back_pre","39",0.0476190476190476,0.0119047619047619,0,0.714285714285714,0.226190476190476,0.880952380952381,511.924642853305
"6","control","2_back_pre","41",0.0833333333333333,0.142857142857143,0,0.678571428571429,0.0952380952380952,0.547619047619048,691.572261904823
"7","control","2_back_pre","45",0.0357142857142857,0.0833333333333333,0,0.726190476190476,0.154761904761905,0.761904761904762,533.029226191935
"8","control","2_back_pre","47",0.0357142857142857,0.0833333333333333,0,0.726190476190476,0.154761904761905,0.761904761904762,703.998928572261
"9","control","2_back_pre","49",0.0238095238095238,0.0476190476190476,0,0.738095238095238,0.19047619047619,0,645.790892856548
"10","control","2_back_pre","51",0,0.0119047619047619,0,0.761904761904762,0.226190476190476,0.976190476190476,708.440476190476
"11","control","2_back_post","17",0,0.0952380952380952,0,0.761904761904762,0.142857142857143,0.80952380952381,590.059523809524
"12","control","2_back_post","31",0.0595238095238095,0.0238095238095238,0,0.702380952380952,0.214285714285714,0.833333333333333,630.101785716501
"13","control","2_back_post","35",0.0238095238095238,0.0714285714285714,0,0.738095238095238,0.166666666666667,0.80952380952381,761.507500000031
"14","control","2_back_post","37",0.0357142857142857,0.0119047619047619,0.0595238095238095,0.678571428571429,0.214285714285714,0.785714285714286,586.325833330712
"15","control","2_back_post","39",0.0119047619047619,0,0,0.75,0.238095238095238,0.976190476190476,491.231369052825
"16","control","2_back_post","41",0.0714285714285714,0.130952380952381,0.0238095238095238,0.666666666666667,0.107142857142857,0.547619047619048,651.156666666652
"17","control","2_back_post","45",0.0357142857142857,0.0595238095238095,0.0119047619047619,0.714285714285714,0.178571428571429,0.785714285714286,542.941011904594
"18","control","2_back_post","47",0.0238095238095238,0.0714285714285714,0.0119047619047619,0.726190476190476,0.166666666666667,0.785714285714286,604.321726197322
"19","control","2_back_post","49",0,0.0238095238095238,0,0.761904761904762,0.214285714285714,0,563.670476192431
"20","control","2_back_post","51",0.0238095238095238,0.0595238095238095,0.0238095238095238,0.714285714285714,0.178571428571429,0.785714285714286,648.833333333333
"21","transc","2_back_pre","1",0.0238095238095238,0.0238095238095238,0,0.738095238095238,0.214285714285714,0.904761904761905,572.130833331141
"22","transc","2_back_pre","3",0.0119047619047619,0.0595238095238095,0.0595238095238095,0.69047619047619,0.178571428571429,0.738095238095238,439.405059516762
"23","transc","2_back_pre","5",0.130952380952381,0.0833333333333333,0.0357142857142857,0.595238095238095,0.154761904761905,0.5,567.76875
"24","transc","2_back_pre","7",0.0714285714285714,0.107142857142857,0,0.69047619047619,0.130952380952381,0.642857142857143,452.630952380951
"25","transc","2_back_pre","9",0.0119047619047619,0.0595238095238095,0,0.75,0.178571428571429,0.857142857142857,560.326071425585
"26","transc","2_back_pre","11",0.0119047619047619,0.0119047619047619,0.0238095238095238,0.726190476190476,0.226190476190476,0.904761904761905,632.089880952366
"27","transc","2_back_pre","19",0.0476190476190476,0.0238095238095238,0.0476190476190476,0.666666666666667,0.214285714285714,0.761904761904762,658.649642874176
"28","transc","2_back_pre","21",0,0.0119047619047619,0.0119047619047619,0.75,0.226190476190476,0.952380952380952,575.583333333339
"29","transc","2_back_pre","23",0.0595238095238095,0.0595238095238095,0,0.702380952380952,0.178571428571429,0.761904761904762,786.056190473442
"30","transc","2_back_pre","25",0.0476190476190476,0.0119047619047619,0.0476190476190476,0.666666666666667,0.226190476190476,0.785714285714286,671.392857142857
"31","transc","2_back_post","1",0.0238095238095238,0,0,0.738095238095238,0.238095238095238,0.952380952380952,558.442678560304
"32","transc","2_back_post","3",0,0.0595238095238095,0.0119047619047619,0.75,0.178571428571429,0.857142857142857,460.223690473608
"33","transc","2_back_post","5",0.19047619047619,0.107142857142857,0.0119047619047619,0.55952380952381,0.130952380952381,0.380952380952381,578.18416666668
"34","transc","2_back_post","7",0.0357142857142857,0.0476190476190476,0,0.726190476190476,0.19047619047619,0.833333333333333,455.476190476146
"35","transc","2_back_post","9",0,0.119047619047619,0,0.761904761904762,0.119047619047619,0.761904761904762,654.21857142965
"36","transc","2_back_post","11",0,0,0.0119047619047619,0.75,0.238095238095238,0.976190476190476,624.727559523774
"37","transc","2_back_post","19",0.0714285714285714,0.0357142857142857,0.0714285714285714,0.619047619047619,0.202380952380952,0.642857142857143,553.797440484189
"38","transc","2_back_post","21",0.0119047619047619,0.0238095238095238,0.142857142857143,0.642857142857143,0.178571428571429,0.642857142857143,561.726190476168
"39","transc","2_back_post","23",0.0238095238095238,0.0952380952380952,0,0.738095238095238,0.142857142857143,0.761904761904762,762.683392854387
"40","transc","2_back_post","25",0.0714285714285714,0,0.0119047619047619,0.678571428571429,0.238095238095238,0.833333333333333,500.72619047619
