"","groupe","subject_id","part","variable","n","mean","sd"
"1","control",29,"recall-pre","sim",6,0.861,0.34
"2","control",29,"recall-post","sim",6,0.883,0.139
"3","control",30,"recall-pre","sim",6,0.878,0.096
"4","control",30,"recall-post","sim",6,0.967,0.082
"5","control",32,"recall-pre","sim",6,1,0
"6","control",32,"recall-post","sim",6,1,0
"7","control",34,"recall-pre","sim",6,0.614,0.323
"8","control",34,"recall-post","sim",6,0.447,0.317
"9","control",36,"recall-pre","sim",6,0.917,0.204
"10","control",36,"recall-post","sim",6,0.917,0.139
"11","control",38,"recall-pre","sim",6,0.944,0.136
"12","control",38,"recall-post","sim",6,1,0
"13","control",40,"recall-pre","sim",6,0.444,0.326
"14","control",40,"recall-post","sim",6,0.628,0.245
"15","control",42,"recall-pre","sim",6,0.703,0.243
"16","control",42,"recall-post","sim",6,0.786,0.194
"17","control",46,"recall-pre","sim",6,0.397,0.244
"18","control",46,"recall-post","sim",6,0.508,0.307
"19","control",50,"recall-pre","sim",6,0.944,0.136
"20","control",50,"recall-post","sim",6,1,0
"21","transc",2,"recall-pre","sim",6,0.683,0.326
"22","transc",2,"recall-post","sim",6,0.614,0.35
"23","transc",4,"recall-pre","sim",6,0.847,0.271
"24","transc",4,"recall-post","sim",6,0.889,0.202
"25","transc",6,"recall-pre","sim",6,0.773,0.298
"26","transc",6,"recall-post","sim",6,0.847,0.2
"27","transc",8,"recall-pre","sim",6,0.669,0.39
"28","transc",8,"recall-post","sim",6,0.822,0.223
"29","transc",10,"recall-pre","sim",6,0.817,0.223
"30","transc",10,"recall-post","sim",6,0.561,0.368
"31","transc",12,"recall-pre","sim",6,0.781,0.162
"32","transc",12,"recall-post","sim",6,0.589,0.338
"33","transc",18,"recall-pre","sim",6,0.328,0.238
"34","transc",18,"recall-post","sim",6,0.603,0.178
"35","transc",20,"recall-pre","sim",6,1,0
"36","transc",20,"recall-post","sim",6,0.972,0.068
"37","transc",22,"recall-pre","sim",6,0.778,0.36
"38","transc",22,"recall-post","sim",6,0.958,0.102
"39","transc",24,"recall-pre","sim",6,0.939,0.095
"40","transc",24,"recall-post","sim",6,0.864,0.109
"41","transc",26,"recall-pre","sim",6,0.972,0.068
"42","transc",26,"recall-post","sim",6,1,0
"43","transc",28,"recall-pre","sim",6,0.65,0.274
"44","transc",28,"recall-post","sim",6,0.736,0.235
