groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
transc,2,sentence-pre,,,3531.329999998,1,,
transc,2,sentence-pre,,,4600.3350000246,1,,
transc,2,sentence-pre,,,4390.4200000106,1,,
transc,2,sentence-pre,,,7235.4399999895,0,,
transc,2,recall-pre,1,4,8021.2199999951,0,HKLN,HKNL
transc,2,sentence-pre,,,4063.914999977,1,,
transc,2,sentence-pre,,,6015.7400000026,1,,
transc,2,sentence-pre,,,5969.8799999896,1,,
transc,2,sentence-pre,,,7137.6650000166,0,,
transc,2,sentence-pre,,,4722.929999989,1,,
transc,2,sentence-pre,,,4337.2299999755,1,,
transc,2,recall-pre,2,6,7489.8099999991,0,TNPQLS,TNRQLS
transc,2,sentence-pre,,,6651.6150000098,1,,
transc,2,sentence-pre,,,4415.6099999964,0,,
transc,2,sentence-pre,,,2714.7850000183,1,,
transc,2,sentence-pre,,,4331.4700000046,0,,
transc,2,recall-pre,3,4,4320.4149999947,1,FRQL,FRQL
transc,2,sentence-pre,,,4353.6599999934,1,,
transc,2,sentence-pre,,,6488.2849999995,1,,
transc,2,sentence-pre,,,12269.86499998,1,,
transc,2,sentence-pre,,,10257.975000015,1,,
transc,2,sentence-pre,,,3246.4150000014,1,,
transc,2,recall-pre,4,5,5688.4149999823,0,SYJPK,JPK
transc,2,sentence-pre,,,3840.7000000007,1,,
transc,2,sentence-pre,,,4684.5949999988,1,,
transc,2,sentence-pre,,,11266.21999999,0,,
transc,2,sentence-pre,,,9648.7100000086,0,,
transc,2,sentence-pre,,,3444.2500000005,1,,
transc,2,sentence-pre,,,9117.0500000007,0,,
transc,2,recall-pre,5,6,6060.5400000059,0,KLYSQH,TKSL
transc,2,sentence-pre,,,5759.9950000003,1,,
transc,2,sentence-pre,,,8375.8350000135,1,,
transc,2,sentence-pre,,,5563.0349999992,1,,
transc,2,sentence-pre,,,18335.41,0,,
transc,2,sentence-pre,,,5648.1150000182,1,,
transc,2,recall-pre,6,5,5690.7300000021,1,HJRKS,HJRKS
transc,2,sentence-post,,,11159.09999999,1,,
transc,2,sentence-post,,,5661.9900000226,1,,
transc,2,sentence-post,,,3236.6699999841,0,,
transc,2,sentence-post,,,2856.4250000054,1,,
transc,2,sentence-post,,,4114.1500000083,0,,
transc,2,sentence-post,,,9724.4050000156,1,,
transc,2,recall-post,1,6,5112.0850000004,1,HPYQSR,HPYQSR
transc,2,sentence-post,,,6011.4999999935,0,,
transc,2,sentence-post,,,3082.5499999914,0,,
transc,2,sentence-post,,,12586.869999999,1,,
transc,2,sentence-post,,,7039.7499999963,1,,
transc,2,sentence-post,,,2965.4000000153,0,,
transc,2,recall-post,2,5,6257.4650000022,0,RJYSK,YSRP
transc,2,sentence-post,,,2983.7150000096,1,,
transc,2,sentence-post,,,2567.5000000047,1,,
transc,2,sentence-post,,,3793.2199999923,1,,
transc,2,sentence-post,,,3800.45000001,1,,
transc,2,recall-post,3,4,5451.0900000171,1,THJF,THJF
transc,2,sentence-post,,,3379.3000000007,1,,
transc,2,sentence-post,,,2962.760000024,1,,
transc,2,sentence-post,,,4364.9799999837,1,,
transc,2,sentence-post,,,3308.1649999949,1,,
transc,2,sentence-post,,,3774.62500002,1,,
transc,2,sentence-post,,,3894.6399999838,1,,
transc,2,recall-post,4,6,6016.0100000212,0,YSQFTL,TQLTF
transc,2,sentence-post,,,2841.5899999966,1,,
transc,2,sentence-post,,,3044.8299999991,1,,
transc,2,sentence-post,,,3186.9849999784,1,,
transc,2,sentence-post,,,4366.3299999898,1,,
transc,2,recall-post,5,4,4081.3750000088,0,TNFR,TNFL
transc,2,sentence-post,,,3552.8549999874,1,,
transc,2,sentence-post,,,2545.9949999927,1,,
transc,2,sentence-post,,,6670.5000000075,1,,
transc,2,sentence-post,,,2885.4349999749,1,,
transc,2,sentence-post,,,2972.6749999975,1,,
transc,2,recall-post,6,5,5326.7349999808,0,LPRFH,TPFL
transc,6,sentence-pre,,,4807.6300000102,1,,
transc,6,sentence-pre,,,6932.839999994,0,,
transc,6,sentence-pre,,,4343.0649999937,1,,
transc,6,sentence-pre,,,5076.9650000002,1,,
transc,6,sentence-pre,,,4709.3349999923,1,,
transc,6,recall-pre,1,5,6555.7249999983,1,TYJKN,TYJKN
transc,6,sentence-pre,,,7973.9300000074,1,,
transc,6,sentence-pre,,,6151.2800000055,1,,
transc,6,sentence-pre,,,4126.4799999917,1,,
transc,6,sentence-pre,,,5573.5750000022,1,,
transc,6,sentence-pre,,,6550.7250000082,1,,
transc,6,sentence-pre,,,5895.1899999956,1,,
transc,6,recall-pre,2,6,9109.1050000105,0,RJPSTF,RJPNTF
transc,6,sentence-pre,,,6934.0900000097,1,,
transc,6,sentence-pre,,,5062.2000000003,1,,
transc,6,sentence-pre,,,6534.7150000016,1,,
transc,6,sentence-pre,,,6245.2599999961,1,,
transc,6,recall-pre,3,4,4759.8949999956,0,HJTR,RJTR
transc,6,sentence-pre,,,5973.840000006,1,,
transc,6,sentence-pre,,,4485.440000004,1,,
transc,6,sentence-pre,,,7901.7250000034,1,,
transc,6,sentence-pre,,,5304.3000000034,1,,
transc,6,recall-pre,4,4,7614.6799999988,1,TFQH,TFQH
transc,6,sentence-pre,,,5006.1399999977,1,,
transc,6,sentence-pre,,,4893.8849999977,1,,
transc,6,sentence-pre,,,12543.475000013,1,,
transc,6,sentence-pre,,,3772.8999999963,1,,
transc,6,sentence-pre,,,4391.3200000097,1,,
transc,6,recall-pre,5,5,7686.4649999916,0,NHKYT,PRYH
transc,6,sentence-pre,,,7469.9250000122,0,,
transc,6,sentence-pre,,,4806.030000007,1,,
transc,6,sentence-pre,,,8087.6649999991,1,,
transc,6,sentence-pre,,,6621.7299999989,1,,
transc,6,sentence-pre,,,4413.274999999,1,,
transc,6,sentence-pre,,,7679.6349999931,1,,
transc,6,recall-pre,6,6,9934.7050000069,0,NPHJRY,NJPHJRY
transc,6,sentence-post,,,4916.5700000012,1,,
transc,6,sentence-post,,,4782.6050000004,1,,
transc,6,sentence-post,,,3621.8500000103,1,,
transc,6,sentence-post,,,3861.2849999918,1,,
transc,6,sentence-post,,,4894.7849999969,1,,
transc,6,sentence-post,,,5383.3150000139,1,,
transc,6,recall-post,1,6,13362.359999999,0,TKSPFH,TKSPF
transc,6,sentence-post,,,7917.7750000088,1,,
transc,6,sentence-post,,,9877.7499999995,0,,
transc,6,sentence-post,,,8988.9849999892,0,,
transc,6,sentence-post,,,9543.4650000101,1,,
transc,6,sentence-post,,,3949.3899999941,1,,
transc,6,sentence-post,,,5349.524999998,1,,
transc,6,recall-post,2,6,4472.5449999971,0,HRSPFK,PFK
transc,6,sentence-post,,,5565.9949999969,1,,
