subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
29,sentence-pre,,,3519.1899999991,1,,
29,sentence-pre,,,5253.810000002,1,,
29,sentence-pre,,,4641.4049999948,1,,
29,sentence-pre,,,4799.3399999978,1,,
29,recall-pre,1,4,7290.4349999953,1,KJRT,KJRT
29,sentence-pre,,,3383.8849999956,1,,
29,sentence-pre,,,4667.2400000025,0,,
29,sentence-pre,,,3773.9299999957,1,,
29,sentence-pre,,,5038.1450000059,0,,
29,sentence-pre,,,5595.7999999955,1,,
29,sentence-pre,,,6348.8050000014,1,,
29,recall-pre,2,6,10386.420000003,1,FLJPTQ,FLJPTQ
29,sentence-pre,,,3052.1100000042,1,,
29,sentence-pre,,,4858.7800000023,0,,
29,sentence-pre,,,4563.645000002,1,,
29,sentence-pre,,,5022.3000000042,0,,
29,sentence-pre,,,5392.9450000069,1,,
29,recall-pre,3,5,8235.8600000007,1,PSRJF,PSRJF
29,sentence-pre,,,5617.3199999976,1,,
29,sentence-pre,,,4578.9049999948,1,,
29,sentence-pre,,,4704.4949999981,1,,
29,sentence-pre,,,3965.5800000037,1,,
29,sentence-pre,,,4140.9550000026,1,,
29,recall-pre,4,5,8288.5100000058,1,NSTKJ,NSTKJ
29,sentence-pre,,,4028.8,1,,
29,sentence-pre,,,6726.6349999991,1,,
29,sentence-pre,,,5859.4649999941,1,,
29,sentence-pre,,,7127.5249999962,1,,
29,sentence-pre,,,,0,,
29,sentence-pre,,,4454.310000001,1,,
29,recall-pre,5,6,58226.085000002,0,HYSTJR,HJPRY
29,sentence-pre,,,5916.1850000019,0,,
29,sentence-pre,,,6465.670000005,1,,
29,sentence-pre,,,4749.6800000008,1,,
29,sentence-pre,,,5225.8000000002,1,,
29,recall-pre,6,4,8926.9599999971,1,HLKN,HLKN
29,sentence-post,,,5985.6199999996,1,,
29,sentence-post,,,4439.9600000032,1,,
29,sentence-post,,,5750.1849999973,1,,
29,sentence-post,,,6589.0050000013,1,,
29,recall-post,1,4,9267.6999999969,1,JNSL,JNSL
29,sentence-post,,,3768.4550000047,1,,
29,sentence-post,,,4251.5049999999,1,,
29,sentence-post,,,4290.7749999943,0,,
29,sentence-post,,,5912.6050000051,1,,
29,recall-post,2,4,8087.339999998,0,RYNT,YRYNT
29,sentence-post,,,4263.5049999952,1,,
29,sentence-post,,,4350.2399999998,1,,
29,sentence-post,,,3510.79,1,,
29,sentence-post,,,4173.0150000001,1,,
29,sentence-post,,,5000.2899999963,1,,
29,sentence-post,,,3854.6500000013,1,,
29,recall-post,3,6,15662.329999999,0,PKQNJR,PKQNR
29,sentence-post,,,3749.3949999991,1,,
29,sentence-post,,,2897.0550000011,1,,
29,sentence-post,,,4708.4899999974,1,,
29,sentence-post,,,5775.855,0,,
29,sentence-post,,,4775.2749999999,1,,
29,sentence-post,,,5133.759999997,1,,
29,recall-post,4,6,8697.0900000017,0,QHLPFY,QHFLPY
29,sentence-post,,,4417.0100000049,1,,
29,sentence-post,,,4002.2150000003,1,,
29,sentence-post,,,5121.8599999989,1,,
29,sentence-post,,,3433.2949999953,1,,
29,sentence-post,,,5027.9549999977,1,,
29,recall-post,5,5,9020.6249999977,1,YRQFS,YRQFS
29,sentence-post,,,3648.1700000004,1,,
29,sentence-post,,,4163.3799999985,1,,
29,sentence-post,,,4299.3649999993,1,,
29,sentence-post,,,2561.6149999984,1,,
29,sentence-post,,,5555.5049999966,1,,
29,recall-post,6,5,7332.1399999987,1,RHQSP,RHQSP
32,sentence-pre,,,4598,1,,
32,sentence-pre,,,6234,1,,
32,sentence-pre,,,5975,1,,
32,sentence-pre,,,3816,1,,
32,sentence-pre,,,6661,1,,
32,recall-pre,1,5,6005,1,FLRTP,FLRTP
32,sentence-pre,,,5773,1,,
32,sentence-pre,,,3974,1,,
32,sentence-pre,,,7078,1,,
32,sentence-pre,,,4691,1,,
32,recall-pre,2,4,6531,1,RNSF,RNSF
32,sentence-pre,,,5585,1,,
32,sentence-pre,,,5593,1,,
32,sentence-pre,,,4896,1,,
32,sentence-pre,,,5346,1,,
32,recall-pre,3,4,5228,1,KHRF,KHRF
32,sentence-pre,,,5335,0,,
32,sentence-pre,,,4333,1,,
32,sentence-pre,,,4963,1,,
32,sentence-pre,,,4445,1,,
32,sentence-pre,,,4423,1,,
32,sentence-pre,,,5661,1,,
32,recall-pre,4,6,6203,1,HYLNJK,HYLNJK
32,sentence-pre,,,4338,1,,
32,sentence-pre,,,6651,0,,
32,sentence-pre,,,5074,1,,
32,sentence-pre,,,4175,1,,
32,sentence-pre,,,5784,1,,
32,sentence-pre,,,5450,1,,
32,recall-pre,5,6,8643,1,SPLNKF,SPLNKF
32,sentence-pre,,,3640,1,,
32,sentence-pre,,,6087.9999999999,1,,
32,sentence-pre,,,3837,1,,
32,sentence-pre,,,3141,1,,
32,sentence-pre,,,5142,1,,
32,recall-pre,6,5,6677,1,HKYPF,HKYPF
32,sentence-post,,,3683,1,,
32,sentence-post,,,3659,1,,
32,sentence-post,,,4963,1,,
32,sentence-post,,,5773,1,,
32,sentence-post,,,6932,1,,
32,sentence-post,,,5310,1,,
32,recall-post,1,6,6541.9999999995,1,HNYKJF,HNYKJF
32,sentence-post,,,6566,1,,
32,sentence-post,,,5312,0,,
32,sentence-post,,,7325,1,,
32,sentence-post,,,3647,1,,
32,sentence-post,,,4231,1,,
32,recall-post,2,5,4639,1,LKHPQ,LKHPQ
32,sentence-post,,,5665,1,,
32,sentence-post,,,3287,1,,
32,sentence-post,,,2299,1,,
32,sentence-post,,,3937,1,,
32,sentence-post,,,2150.0000000005,1,,
32,recall-post,3,5,6078,1,HTYLR,HTYLR
32,sentence-post,,,3113,1,,
32,sentence-post,,,3489,1,,
32,sentence-post,,,2240,1,,
32,sentence-post,,,4804.0000000005,1,,
32,recall-post,4,4,4102.0000000005,1,SNQJ,SNQJ
32,sentence-post,,,2998.0000000005,1,,
32,sentence-post,,,3364,1,,
32,sentence-post,,,3027,1,,
32,sentence-post,,,3064,1,,
32,recall-post,5,4,5716,1,FQRH,FQRH
32,sentence-post,,,3292,1,,
32,sentence-post,,,4209,1,,
32,sentence-post,,,2500,1,,
32,sentence-post,,,4782,1,,
32,sentence-post,,,2206,1,,
32,sentence-post,,,4187,1,,
32,recall-post,6,6,9668,1,NJPRKF,NJPRKF
30,sentence-pre,,,5728,0,,
30,sentence-pre,,,8707,1,,
30,sentence-pre,,,6114,1,,
30,sentence-pre,,,6753,1,,
30,recall-pre,1,4,9525,1,LNHY,LNHY
30,sentence-pre,,,6957,1,,
30,sentence-pre,,,7626,0,,
30,sentence-pre,,,7854,0,,
30,sentence-pre,,,6050,0,,
30,sentence-pre,,,6394,1,,
30,recall-pre,2,5,17501,0,TLJKN,TLJQN
30,sentence-pre,,,8312,0,,
30,sentence-pre,,,5387,1,,
30,sentence-pre,,,6171,1,,
30,sentence-pre,,,10238,1,,
30,sentence-pre,,,,0,,
30,sentence-pre,,,4315,0,,
30,recall-pre,3,6,17023,0,YRFQSN,YRFQSL
30,sentence-pre,,,6580,1,,
30,sentence-pre,,,6340,1,,
30,sentence-pre,,,5285,1,,
30,sentence-pre,,,4438,1,,
30,sentence-pre,,,5820.9999999999,1,,
30,recall-pre,4,5,20814,0,HSTJN,YSTJN
30,sentence-pre,,,7074,1,,
30,sentence-pre,,,,0,,
30,sentence-pre,,,5233.0000000001,1,,
30,sentence-pre,,,5973,1,,
30,sentence-pre,,,6334,0,,
30,sentence-pre,,,6974.9999999999,0,,
30,recall-pre,5,6,38462,0,RYHFPT,RYHFP
30,sentence-pre,,,8286,1,,
30,sentence-pre,,,8185.0000000001,1,,
30,sentence-pre,,,6583.0000000001,0,,
30,sentence-pre,,,6231,1,,
30,recall-pre,6,4,6499,1,THQL,THQL
30,sentence-post,,,6201,1,,
30,sentence-post,,,6006.9999999995,0,,
30,sentence-post,,,4183,0,,
30,sentence-post,,,1413,1,,
30,recall-post,1,4,14076,1,PSYK,PSYK
30,sentence-post,,,5756,0,,
