,groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled,sim,dist
0,transc,2,sentence-pre,,,3531.329999998,1,,,1.0,0.0
1,transc,2,sentence-pre,,,4600.3350000246,1,,,1.0,0.0
2,transc,2,sentence-pre,,,4390.4200000106,1,,,1.0,0.0
3,transc,2,sentence-pre,,,7235.4399999895,0,,,1.0,0.0
4,transc,2,recall-pre,1.0,4.0,8021.2199999951,0,HKLN,HKNL,0.5,0.5
5,transc,2,sentence-pre,,,4063.914999977,1,,,1.0,0.0
6,transc,2,sentence-pre,,,6015.7400000026,1,,,1.0,0.0
7,transc,2,sentence-pre,,,5969.8799999896,1,,,1.0,0.0
8,transc,2,sentence-pre,,,7137.6650000166,0,,,1.0,0.0
9,transc,2,sentence-pre,,,4722.929999989,1,,,1.0,0.0
10,transc,2,sentence-pre,,,4337.2299999755,1,,,1.0,0.0
11,transc,2,recall-pre,2.0,6.0,7489.8099999991,0,TNPQLS,TNRQLS,0.8333333333333334,0.16666666666666666
12,transc,2,sentence-pre,,,6651.6150000098,1,,,1.0,0.0
13,transc,2,sentence-pre,,,4415.6099999964,0,,,1.0,0.0
14,transc,2,sentence-pre,,,2714.7850000183,1,,,1.0,0.0
15,transc,2,sentence-pre,,,4331.4700000046,0,,,1.0,0.0
16,transc,2,recall-pre,3.0,4.0,4320.4149999947,1,FRQL,FRQL,1.0,0.0
17,transc,2,sentence-pre,,,4353.6599999934,1,,,1.0,0.0
18,transc,2,sentence-pre,,,6488.2849999995,1,,,1.0,0.0
19,transc,2,sentence-pre,,,12269.86499998,1,,,1.0,0.0
20,transc,2,sentence-pre,,,10257.975000015,1,,,1.0,0.0
21,transc,2,sentence-pre,,,3246.4150000014,1,,,1.0,0.0
22,transc,2,recall-pre,4.0,5.0,5688.4149999823,0,SYJPK,JPK,0.6,0.4
23,transc,2,sentence-pre,,,3840.7000000007,1,,,1.0,0.0
24,transc,2,sentence-pre,,,4684.5949999988,1,,,1.0,0.0
25,transc,2,sentence-pre,,,11266.21999999,0,,,1.0,0.0
26,transc,2,sentence-pre,,,9648.7100000086,0,,,1.0,0.0
27,transc,2,sentence-pre,,,3444.2500000005,1,,,1.0,0.0
28,transc,2,sentence-pre,,,9117.0500000007,0,,,1.0,0.0
29,transc,2,recall-pre,5.0,6.0,6060.5400000059,0,KLYSQH,TKSL,0.16666666666666663,0.8333333333333334
30,transc,2,sentence-pre,,,5759.9950000003,1,,,1.0,0.0
31,transc,2,sentence-pre,,,8375.8350000135,1,,,1.0,0.0
32,transc,2,sentence-pre,,,5563.0349999992,1,,,1.0,0.0
33,transc,2,sentence-pre,,,18335.41,0,,,1.0,0.0
34,transc,2,sentence-pre,,,5648.1150000182,1,,,1.0,0.0
35,transc,2,recall-pre,6.0,5.0,5690.7300000021,1,HJRKS,HJRKS,1.0,0.0
36,transc,2,sentence-post,,,11159.09999999,1,,,1.0,0.0
37,transc,2,sentence-post,,,5661.9900000226,1,,,1.0,0.0
38,transc,2,sentence-post,,,3236.6699999841,0,,,1.0,0.0
39,transc,2,sentence-post,,,2856.4250000054,1,,,1.0,0.0
40,transc,2,sentence-post,,,4114.1500000083,0,,,1.0,0.0
41,transc,2,sentence-post,,,9724.4050000156,1,,,1.0,0.0
42,transc,2,recall-post,1.0,6.0,5112.0850000004,1,HPYQSR,HPYQSR,1.0,0.0
43,transc,2,sentence-post,,,6011.4999999935,0,,,1.0,0.0
44,transc,2,sentence-post,,,3082.5499999914,0,,,1.0,0.0
45,transc,2,sentence-post,,,12586.869999999,1,,,1.0,0.0
