id_sujet,id_question_sub,reponse_sub_sujet,id_subject,back_1_level,back_2_level,oxford,typing_speed,age,sexe,groupe
2,1,100,2,2,2,0,50,27,F,
2,2,55,2,2,2,0,50,27,F,
2,3,25,2,2,2,0,50,27,F,
2,4,0,2,2,2,0,50,27,F,
2,5,58,2,2,2,0,50,27,F,
2,6,84,2,2,2,0,50,27,F,
1,1,100,1,1,6,0,55,43,F,
1,2,29,1,1,6,0,55,43,F,
1,3,66,1,1,6,0,55,43,F,
1,4,65,1,1,6,0,55,43,F,
1,5,82,1,1,6,0,55,43,F,
1,6,23,1,1,6,0,55,43,F,
3,1,100,3,2,4,0,55,31,F,
3,2,53,3,2,4,0,55,31,F,
3,3,68,3,2,4,0,55,31,F,
3,4,57,3,2,4,0,55,31,F,
3,5,67,3,2,4,0,55,31,F,
3,6,33,3,2,4,0,55,31,F,
6,1,0,6,0,0,0,35,45,G,
6,2,50,6,0,0,0,35,45,G,
6,3,100,6,0,0,0,35,45,G,
6,4,15,6,0,0,0,35,45,G,
6,5,88,6,0,0,0,35,45,G,
6,6,0,6,0,0,0,35,45,G,
5,1,92,5,4,4,0,44,45,F,
5,2,27,5,4,4,0,44,45,F,
5,3,74,5,4,4,0,44,45,F,
5,4,73,5,4,4,0,44,45,F,
5,5,81,5,4,4,0,44,45,F,
5,6,1,5,4,4,0,44,45,F,
4,1,100,4,0,0,0,41,30,F,
4,2,49,4,0,0,0,41,30,F,
4,3,100,4,0,0,0,41,30,F,
4,4,50,4,0,0,0,41,30,F,
4,5,79,4,0,0,0,41,30,F,
4,6,17,4,0,0,0,41,30,F,
8,1,100,8,0,0,0,44,21,F,
8,2,73,8,0,0,0,44,21,F,
8,3,87,8,0,0,0,44,21,F,
8,4,100,8,0,0,0,44,21,F,
8,5,64,8,0,0,0,44,21,F,
8,6,50,8,0,0,0,44,21,F,
7,1,100,7,2,4,21,53,20,F,
7,2,65,7,2,4,21,53,20,F,
7,3,91,7,2,4,21,53,20,F,
7,4,58,7,2,4,21,53,20,F,
7,5,61,7,2,4,21,53,20,F,
7,6,80,7,2,4,21,53,20,F,
9,1,69,9,1,4,19,61,22,F,
9,2,19,9,1,4,19,61,22,F,
9,3,93,9,1,4,19,61,22,F,
9,4,68,9,1,4,19,61,22,F,
9,5,97,9,1,4,19,61,22,F,
9,6,0,9,1,4,19,61,22,F,
10,1,91,10,0,0,23,44,21,F,
10,2,65,10,0,0,23,44,21,F,
10,3,54,10,0,0,23,44,21,F,
10,4,19,10,0,0,23,44,21,F,
10,5,82,10,0,0,23,44,21,F,
10,6,40,10,0,0,23,44,21,F,
11,1,94,11,2,2,23,71,22,F,
11,2,22,11,2,2,23,71,22,F,
11,3,74,11,2,2,23,71,22,F,
11,4,65,11,2,2,23,71,22,F,
11,5,75,11,2,2,23,71,22,F,
11,6,27,11,2,2,23,71,22,F,
20,1,100,20,0,0,23,49,0,F,
20,2,30,20,0,0,23,49,0,F,
20,3,58,20,0,0,23,49,0,F,
20,4,52,20,0,0,23,49,0,F,
20,5,71,20,0,0,23,49,0,F,
20,6,50,20,0,0,23,49,0,F,
18,1,100,18,0,0,21,38,0,F,
18,2,97,18,0,0,21,38,0,F,
18,3,93,18,0,0,21,38,0,F,
18,4,85,18,0,0,21,38,0,F,
18,5,98,18,0,0,21,38,0,F,
18,6,1,18,0,0,21,38,0,F,
12,1,91,12,0,0,22,55,20,F,
12,2,74,12,0,0,22,55,20,F,
12,3,56,12,0,0,22,55,20,F,
12,4,56,12,0,0,22,55,20,F,
12,5,67,12,0,0,22,55,20,F,
12,6,52,12,0,0,22,55,20,F,
23,1,100,23,1,2,18,36,0,F,Principal N-Back
23,2,11,23,1,2,18,36,0,F,Principal N-Back
23,3,89,23,1,2,18,36,0,F,Principal N-Back
23,4,78,23,1,2,18,36,0,F,Principal N-Back
23,5,86,23,1,2,18,36,0,F,Principal N-Back
23,6,0,23,1,2,18,36,0,F,Principal N-Back
19,1,36,19,1,10,23,51,0,F,Principal N-Back
19,2,38,19,1,10,23,51,0,F,Principal N-Back
19,3,84,19,1,10,23,51,0,F,Principal N-Back
19,4,71,19,1,10,23,51,0,F,Principal N-Back
19,5,27,19,1,10,23,51,0,F,Principal N-Back
19,6,51,19,1,10,23,51,0,F,Principal N-Back
24,1,100,24,0,0,22,44,0,F,Principal RSPAN
24,2,50,24,0,0,22,44,0,F,Principal RSPAN
24,3,90,24,0,0,22,44,0,F,Principal RSPAN
24,4,50,24,0,0,22,44,0,F,Principal RSPAN
24,5,100,24,0,0,22,44,0,F,Principal RSPAN
24,6,0,24,0,0,22,44,0,F,Principal RSPAN
28,1,82,28,0,0,24,52,0,F,Principal RSPAN
28,2,67,28,0,0,24,52,0,F,Principal RSPAN
28,3,96,28,0,0,24,52,0,F,Principal RSPAN
28,4,38,28,0,0,24,52,0,F,Principal RSPAN
28,5,100,28,0,0,24,52,0,F,Principal RSPAN
28,6,30,28,0,0,24,52,0,F,Principal RSPAN
22,1,0,22,0,0,23,63,0,F,Principal RSPAN
22,2,69,22,0,0,23,63,0,F,Principal RSPAN
22,3,21,22,0,0,23,63,0,F,Principal RSPAN
22,4,83,22,0,0,23,63,0,F,Principal RSPAN
22,5,100,22,0,0,23,63,0,F,Principal RSPAN
22,6,100,22,0,0,23,63,0,F,Principal RSPAN
25,1,98,25,1,2,24,49,0,F,Principal N-Back
25,2,34,25,1,2,24,49,0,F,Principal N-Back
25,3,12,25,1,2,24,49,0,F,Principal N-Back
25,4,38,25,1,2,24,49,0,F,Principal N-Back
25,5,61,25,1,2,24,49,0,F,Principal N-Back
25,6,55,25,1,2,24,49,0,F,Principal N-Back
28,1,36,28,0,0,24,52,0,F,Principal RSPAN
28,2,38,28,0,0,24,52,0,F,Principal RSPAN
28,3,84,28,0,0,24,52,0,F,Principal RSPAN
28,4,71,28,0,0,24,52,0,F,Principal RSPAN
28,5,27,28,0,0,24,52,0,F,Principal RSPAN
28,6,51,28,0,0,24,52,0,F,Principal RSPAN
29,1,100,29,0,0,23,61,0,F,Controle RSPAN
29,2,31,29,0,0,23,61,0,F,Controle RSPAN
29,3,51,29,0,0,23,61,0,F,Controle RSPAN
29,4,4,29,0,0,23,61,0,F,Controle RSPAN
29,5,70,29,0,0,23,61,0,F,Controle RSPAN
29,6,0,29,0,0,23,61,0,F,Controle RSPAN
26,1,99,26,0,0,21,47,19,F,Principal RSPAN
26,2,65,26,0,0,21,47,19,F,Principal RSPAN
26,3,62,26,0,0,21,47,19,F,Principal RSPAN
26,4,24,26,0,0,21,47,19,F,Principal RSPAN
26,5,4,26,0,0,21,47,19,F,Principal RSPAN
